I1,V1,I2,V2
7.42724e-05,0.750072,5.19063e-08,3.53084e-05
6.93252e-05,0.700093,5.20906e-08,3.51745e-05
6.43748e-05,0.650079,5.23069e-08,3.50741e-05
5.94238e-05,0.600058,5.2057e-08,3.50239e-05
5.44719e-05,0.550031,5.21349e-08,3.47394e-05
4.95223e-05,0.500031,5.21714e-08,3.48231e-05
4.45754e-05,0.45005,5.22412e-08,3.47227e-05
3.96138e-05,0.400091,5.30304e-08,3.44717e-05
3.46611e-05,0.35006,5.22816e-08,3.49234e-05
2.97093e-05,0.300039,5.23273e-08,3.44884e-05
2.47586e-05,0.250022,5.22693e-08,3.46892e-05
1.98096e-05,0.200015,5.22583e-08,3.44549e-05
1.48607e-05,0.150021,5.2337e-08,3.46892e-05
9.91123e-06,0.100024,5.22475e-08,3.46725e-05
4.96157e-06,0.050021,5.24228e-08,3.45052e-05
1.42966e-08,2.91406e-05,5.28286e-08,3.45888e-05
-4.93795e-06,-0.0499833,5.20864e-08,3.47728e-05
-9.8853e-06,-0.0999815,5.29387e-08,3.46055e-05
-1.48356e-05,-0.149986,5.25051e-08,3.44047e-05
-1.97842e-05,-0.199983,5.26073e-08,3.52581e-05
-2.47304e-05,-0.249942,5.2929e-08,3.50071e-05
-2.96832e-05,-0.299977,5.25378e-08,3.52581e-05
-3.46334e-05,-0.349985,5.29074e-08,3.52247e-05
-3.95842e-05,-0.4,5.29795e-08,3.53753e-05
-4.45318e-05,-0.449984,5.2762e-08,3.51075e-05
-4.94811e-05,-0.499985,5.28241e-08,3.45721e-05
-5.44097e-05,-0.549966,5.33342e-08,3.48231e-05
-5.93609e-05,-0.599981,5.27615e-08,3.4321e-05
-6.43106e-05,-0.649988,5.31337e-08,3.44382e-05
-6.92643e-05,-0.700023,5.29956e-08,3.41202e-05
-7.42103e-05,-0.749989,5.31275e-08,3.43043e-05
-7.91565e-05,-0.799964,5.2992e-08,3.42876e-05
-8.41056e-05,-0.849967,5.3071e-08,3.4321e-05
-8.90587e-05,-0.900006,5.3047e-08,3.44549e-05
-9.40096e-05,-0.950021,5.32271e-08,3.40868e-05
-9.89571e-05,-1.00001,5.33061e-08,3.39529e-05
-0.000103903,-1.04998,5.34603e-08,3.37187e-05
-0.000108855,-1.1,5.34507e-08,3.41035e-05
-0.000113805,-1.15001,5.35943e-08,3.3635e-05
-0.000118754,-1.20001,5.33412e-08,3.34175e-05
-0.000123703,-1.25001,5.35188e-08,3.33505e-05
-0.000128648,-1.29997,5.34179e-08,3.39864e-05
-0.000133598,-1.34998,5.37141e-08,3.38525e-05
-0.000138547,-1.39998,5.38223e-08,3.42542e-05
-0.000143496,-1.44997,5.36182e-08,3.40868e-05
-0.000148446,-1.49998,5.36932e-08,3.4137e-05
-0.000153396,-1.54998,5.37428e-08,3.41202e-05
-0.000158341,-1.59995,5.37358e-08,3.44884e-05
-0.000163288,-1.64992,5.38651e-08,3.41035e-05
-0.000168237,-1.69993,5.3791e-08,3.38023e-05
-0.000173189,-1.74996,5.4308e-08,3.37354e-05
-0.000178136,-1.79996,5.39562e-08,3.39529e-05
-0.000183084,-1.84993,5.38282e-08,3.42876e-05
-0.000188031,-1.8999,5.40335e-08,3.38525e-05
-0.000192983,-1.94994,5.43861e-08,3.45052e-05
-0.000197933,-1.99994,5.41051e-08,3.39362e-05
-0.000202884,-2.04996,5.4051e-08,3.42709e-05
-0.00020783,-2.09994,5.41994e-08,3.43546e-05
-0.000212765,-2.14974,5.43994e-08,3.42374e-05
-0.000217716,-2.19976,5.44176e-08,3.43546e-05
-0.000222666,-2.24977,5.44341e-08,3.39529e-05
-0.000227617,-2.29979,5.4444e-08,3.39195e-05
